common_name;family;genus;species;error
louro aritu;lauraceae;aniba;aniba panurensis;aniba panurensis sensu lato
louro falso aritu;lauraceae;aniba;aniba panurensis;aniba panurensis sensu lato
louro fofo;lauraceae;aniba;aniba panurensis;aniba panurensis sensu lato
louro rosa;lauraceae;aniba;aniba panurensis;aniba panurensis sensu lato
tanimbuca;combretaceae;buchenavia;buchenavia guianensis;buchenavia guianesis
gito;meliaceae;guarea;guarea carinata;guarea carinata/trunciflora
pau darco;bignoniaceae;tabebuia;tabebuia incana;handroanthus incanus
inga vermelho;lacistemataceae;lacistema;lacistema aggregatum;lacistema aggregatum/polystachyum
macucu chiador;lacistemataceae;lacistema;lacistema aggregatum;lacistema aggregatum/polystachyum
pimenta nambu;lacistemataceae;lacistema;lacistema aggregatum;lacistema aggregatum/polystachyum
louro pirarucu;lauraceae;licaria;licaria cannella;licaria crassifolia
louro preto;lauraceae;licaria;licaria cannella;licaria crassifolia
araca bravo;melastomataceae;miconia;miconia dichrophylla;miconia dicrophylla
buchuchu;melastomataceae;miconia;miconia dichrophylla;miconia dicrophylla
buchuchu canela velh;melastomataceae;miconia;miconia dichrophylla;miconia dicrophylla
buchuchu canela velho;melastomataceae;miconia;miconia dichrophylla;miconia dicrophylla
bacuri bravo;clusiaceae;moronobea;moronobea coccinea;moronobea coccinea/pulchra
araca bravo;melastomataceae;mouriri;mouriri duckeana;mouriri duckeana/duckeanoides
mamaozinho;melastomataceae;mouriri;mouriri duckeana;mouriri duckeana/duckeanoides
muirauba;melastomataceae;mouriri;mouriri duckeana;mouriri duckeana/duckeanoides
branquinha;violaceae;rinorea;rinorea flavescens;rinorea amapensis/flavescens
